instant,dteday,season,year,month,holiday,day,weather,temp(°C),feels_like(°C),humidity,wind_speed,casual,registered,count_rental,category_day
1,2011-01-01,Spring,2011,Jan,0,Saturday,Misty,14.11,18.18,80.58,0.160446,331,654,985,Weekend
2,2011-01-02,Spring,2011,Jan,0,Sunday,Misty,14.9,17.69,69.61,0.248539,131,670,801,Weekend
3,2011-01-03,Spring,2011,Jan,0,Monday,Clear,8.05,9.47,43.73,0.248309,120,1229,1349,Weekday
4,2011-01-04,Spring,2011,Jan,0,Tuesday,Clear,8.2,10.61,59.04,0.160296,108,1454,1562,Weekday
5,2011-01-05,Spring,2011,Jan,0,Wednesday,Clear,9.31,11.46,43.7,0.1869,82,1518,1600,Weekday
6,2011-01-06,Spring,2011,Jan,0,Thursday,Clear,8.38,11.66,51.83,0.0895652,88,1518,1606,Weekday
7,2011-01-07,Spring,2011,Jan,0,Friday,Misty,8.06,10.44,49.87,0.168726,148,1362,1510,Weekday
8,2011-01-08,Spring,2011,Jan,0,Saturday,Misty,6.76,8.11,53.58,0.266804,68,891,959,Weekend
9,2011-01-09,Spring,2011,Jan,0,Sunday,Clear,5.67,5.81,43.42,0.36195,54,768,822,Weekend
10,2011-01-10,Spring,2011,Jan,0,Monday,Clear,6.18,7.54,48.29,0.223267,41,1280,1321,Weekday
11,2011-01-11,Spring,2011,Jan,0,Tuesday,Misty,6.93,9.57,68.64,0.122132,43,1220,1263,Weekday
12,2011-01-12,Spring,2011,Jan,0,Wednesday,Clear,7.08,8.02,59.95,0.304627,25,1137,1162,Weekday
13,2011-01-13,Spring,2011,Jan,0,Thursday,Clear,6.76,7.54,47.04,0.301,38,1368,1406,Weekday
14,2011-01-14,Spring,2011,Jan,0,Friday,Clear,6.6,9.42,53.78,0.126548,54,1367,1421,Weekday
15,2011-01-15,Spring,2011,Jan,0,Saturday,Misty,9.57,12.41,49.88,0.157963,222,1026,1248,Weekend
16,2011-01-16,Spring,2011,Jan,0,Sunday,Clear,9.5,11.71,48.38,0.188433,251,953,1204,Weekend
17,2011-01-17,Spring,2011,Jan,1,Monday,Misty,7.21,8.84,53.75,0.194017,117,883,1000,Weekday
